==============MVS CALCULATE IOU from 1 to 128===============
Corrected: True
Maximized: True
IOU 1: 0.7808310991957105
IOU 2: 0.7103559870550162
IOU 3: 0.6052852348993288
IOU 4: 0.6881405563689604
IOU 5: 0.6326187473728457
IOU 6: 0.7007415254237288
IOU 7: 0.6336913510457886
IOU 8: 0.37365853658536585
IOU 9: 0.44576030317385124
IOU 10: 0.8449438202247191
IOU 11: 0.687616909839132
IOU 12: 0.744954128440367
IOU 13: 0.6172972972972973
IOU 14: 0.7398068669527897
IOU 15: 0.758819756254009
IOU 16: 0.6918114143920595
IOU 17: 0.742409402546523
IOU 18: 0.6241488878801634
IOU 19: 0.6010709504685409
IOU 20: 0.6238003838771593
IOU 21: 0.5731187884524372
IOU 22: 0.5103004291845493
IOU 23: 0.5836206896551724
IOU 24: 0.6381226842321943
IOU 25: 0.75254730713246
IOU 26: 0.75254730713246
IOU 27: 0.75254730713246
IOU 28: 0.7129210658622424
IOU 29: 0.6287878787878788
IOU 30: 0.5223127667830811
IOU 31: 0.6988636363636364
IOU 32: 0.643279797125951
IOU 33: 0.6291618828932262
IOU 34: 0.7371794871794872
IOU 35: 0.6949152542372882
IOU 36: 0.7334152334152334
IOU 37: 0.6622899159663865
IOU 38: 0.7021645021645022
IOU 39: 0.6851063829787234
IOU 40: 0.5354044220542961
IOU 41: 0.7808310991957105
IOU 42: 0.5759023354564756
IOU 43: 0.5087196937473416
IOU 44: 0.625
IOU 45: 0.5724789915966386
IOU 46: 0.6957104557640751
IOU 47: 0.4392638036809816
IOU 48: 0.5339216767788196
IOU 49: 0.4435483870967742
IOU 50: 0.5869812393405344
IOU 51: 0.5172413793103449
IOU 52: 0.39715681919147044
IOU 53: 0.11668696711327649
IOU 54: 0.4635036496350365
IOU 55: 0.6719745222929936
IOU 56: 0.7777196652719666
IOU 57: 0.7169297768100164
IOU 58: 0.6339285714285714
IOU 59: 0.43620364550597107
IOU 60: 0.5106936416184971
IOU 61: 0.7042337507453786
IOU 62: 0.7078833693304536
IOU 63: 0.5192857142857142
IOU 64: 0.6150159744408946
IOU 65: 0.47969486201480815
IOU 66: 0.3253939171857823
IOU 67: 0.24023199023199024
IOU 68: 0.20831979200519987
IOU 69: 0.6552048987282147
IOU 70: 0.533724340175953
IOU 71: 0.6929824561403509
IOU 72: 0.4408461739357535
IOU 73: 0.6721457130164371
IOU 74: 0.5306841046277666
IOU 75: 0.6085124315212811
IOU 76: 0.58777633289987
IOU 77: 0.43712871287128713
IOU 82: 0.4622307062994273
IOU 83: 0.4622307062994273
IOU 84: 0.6052803129074316
IOU 93: 0.4652014652014652
IOU 94: 0.6187268440552375
IOU 95: 0.4780342516753537
IOU 96: 0.5913154533844189
IOU 97: 0.5291851851851852
IOU 98: 0.5331760542612799
IOU 99: 0.6015252621544328
IOU 100: 0.559447983014862
IOU 101: 0.5609619686800895
IOU 102: 0.37006427915518825
IOU 103: 0.753781512605042
IOU 104: 0.5796628602501359
IOU 105: 0.5977245022348638
IOU 106: 0.6568898727172109
IOU 107: 0.5258162490508732
IOU 108: 0.5823557015485687
IOU 109: 0.5638108780661216
IOU 110: 0.6944444444444444
IOU 111: 0.5675010258514567
IOU 112: 0.5947995666305526
IOU 113: 0.6492498706673564
IOU 114: 0.535601543318134
IOU 115: 0.7719523962688968
IOU 116: 0.651704940848991
IOU 117: 0.7281198003327787
IOU 118: 0.6627056672760512
IOU 119: 0.5957792207792207
IOU 120: 0.6183013144590496
IOU 121: 0.6161242603550295
IOU 122: 0.7552693208430913
IOU 123: 0.6036816459122902
IOU 124: 0.5907407407407408
IOU 125: 0.7326302729528535
IOU 126: 0.5841836734693877
IOU 127: 0.3921042545036412
IOU 128: 0.7438638163103721
Mean 0.60

==============MVS CALCULATE IOU from 1 to 128===============
Corrected: True
Maximized: False
IOU 1: 0.7808310991957105
IOU 2: 0.7103559870550162
